tagvalue,efficiency,average_travel_time
secondary,640.1062711566705,0.01103307014364347
tertiary,512.5674362146452,0.01103307014364347
service,365.7108042625509,0.01103307014364347
path,346.7894316463361,0.01103307014364347
residential,244.19515464929808,0.01103307014364347
track,153.86548834057774,0.01103307014364347
