id,tagvalue,length_km,maxspeed,travel_time,efficiency
927614362,motorway,0.021754899395868336,120.0,0.0001812908282989028,5515.998847725779
328218919,motorway,0.02283138396976544,120.0,0.00019026153308137865,5255.923169568281
152140196,motorway,0.02308226482052022,120.0,0.00019235220683766848,5198.796605665817
973139290,secondary,0.02016249074864864,100.0,0.00020162490748648642,4959.704693563335
1088955456,secondary,0.020243946977905616,100.0,0.00020243946977905616,4939.7481681383915
1087636722,secondary,0.02321656779279977,100.0,0.0002321656779279977,4307.268881966839
714715639,secondary,0.023493104899493175,100.0,0.00023493104899493175,4256.5680623235685
49710415,secondary,0.023651264751280696,100.0,0.00023651264751280696,4228.1036998067975
27991141,secondary,0.02407886056750729,100.0,0.00024078860567507292,4153.020435482852
1088959296,secondary,0.02447454508121767,100.0,0.0002447454508121767,4085.877783147941
1089889616,secondary,0.02459141209877472,100.0,0.00024591412098774724,4066.460258497418
43016129,secondary,0.024802879540199656,100.0,0.00024802879540199656,4031.789931403869
44882707,motorway,0.029908625605768156,120.0,0.0002492385467147346,4012.2204738440705
28494179,motorway,0.03038098741811533,120.0,0.00025317489515096106,3949.8387049937483
714715640,secondary,0.025358002504295676,100.0,0.00025358002504295674,3943.5282799999677
901862183,motorway,0.02604217524549318,100.0,0.0002604217524549318,3839.9250084650994
1060425042,secondary,0.021892982051378806,80.0,0.0002736622756422351,3654.139021000186
1163547318,secondary,0.027907729680548086,100.0,0.0002790772968054809,3583.236656821311
244541190,secondary,0.029139835713740528,100.0,0.00029139835713740527,3431.7283385659666
1089597649,secondary,0.029153913945169006,100.0,0.00029153913945169005,3430.071179741911
4793404,secondary,0.02970548488339105,100.0,0.0002970548488339105,3366.3816763991645
1286187816,secondary,0.02095709697014371,70.0,0.0002993870995734816,3340.1572794039507
204631323,secondary,0.030277610925991735,100.0,0.00030277610925991735,3302.7704941592756
1169221679,secondary,0.02428228111794781,80.0,0.00030352851397434763,3294.5833882496913
259561818,motorway,0.036852293056136576,120.0,0.00030710244213447146,3256.2424220714215
1089858742,secondary,0.030884562593610772,100.0,0.0003088456259361077,3237.8635668515976
315263135,secondary,0.03154049757059979,100.0,0.0003154049757059979,3170.52702723416
23319614,secondary,0.031885405278289626,100.0,0.00031885405278289625,3136.2311103534494
110800819,secondary,0.031920775580163416,100.0,0.0003192077558016342,3132.755961673537
1089858743,secondary,0.03217732481616025,100.0,0.0003217732481616025,3107.778554349475
1087636297,secondary,0.03230892158580131,100.0,0.0003230892158580131,3095.120328743707
1088955451,secondary,0.032556094333935734,100.0,0.00032556094333935733,3071.6215211282965
1087614891,secondary,0.03256138470384765,100.0,0.0003256138470384765,3071.1224632957146
1016406828,secondary,0.03285674953484274,100.0,0.00032856749534842736,3043.5146938060816
31665198,secondary,0.032918562090158886,100.0,0.00032918562090158884,3037.79975948267
4874465,motorway,0.03951120784041296,120.0,0.0003292600653367747,3037.112924633533
1016406843,secondary,0.02646215342547788,80.0,0.00033077691781847353,3023.1855553741757
1169252090,secondary,0.03309372935853903,100.0,0.00033093729358539027,3021.720487183396
46331707,secondary,0.03321478318521154,100.0,0.0003321478318521154,3010.7075949399464
761436284,residential,0.02326637226662668,70.0,0.00033237674666609544,3008.634057678519
34635141,secondary,0.03395507754085755,100.0,0.00033955077540857555,2945.067637665434
1089865793,secondary,0.03402604257123917,100.0,0.0003402604257123917,2938.925377249893
1089865794,secondary,0.03405852089603211,100.0,0.0003405852089603211,2936.122807718588
1097479760,secondary,0.03410422010161638,100.0,0.0003410422010161638,2932.1884418421423
1097479762,secondary,0.03471368122081041,100.0,0.00034713681220810405,2880.7085991229096
1089889619,secondary,0.0353325265979833,100.0,0.000353325265979833,2830.253299963773
1089866211,secondary,0.03542503303419919,100.0,0.00035425033034199184,2822.862575836144
1088955453,secondary,0.03546650264195339,100.0,0.0003546650264195339,2819.5619119690086
5219448,secondary,0.03572731128261749,100.0,0.0003572731128261749,2798.9791677565527
1016406831,secondary,0.029000024072460613,80.0,0.00036250030090575764,2758.6183997678354
204549472,secondary,0.036474370423923645,100.0,0.0003647437042392364,2741.651160465534
1089864031,secondary,0.03656236171905121,100.0,0.0003656236171905121,2735.0530791312076
1089864029,secondary,0.036778125429663654,100.0,0.00036778125429663656,2719.0075304747397
204631321,secondary,0.03691662859693017,100.0,0.0003691662859693017,2708.8064051524893
1076185028,secondary,0.0372805713621667,100.0,0.000372805713621667,2682.3623229520194
1089864030,secondary,0.03746619075608588,100.0,0.0003746619075608588,2669.0730491131217
1097479761,secondary,0.03761162623385745,100.0,0.0003761162623385745,2658.752359662168
1169252087,secondary,0.026486007488861686,70.0,0.00037837153555516696,2642.9049387469026
1089864028,secondary,0.037950057745697485,100.0,0.0003795005774569749,2635.0421037590463
1087636295,secondary,0.037974189641656914,100.0,0.00037974189641656913,2633.3675831834485
22617519,residential,0.0386146600453793,100.0,0.000386146600453793,2589.6900265982317
1089666182,secondary,0.03936603416768055,100.0,0.0003936603416768055,2540.2609664475635
479342032,secondary,0.04015111526015388,100.0,0.0004015111526015388,2490.5908429208785
388816314,motorway,0.04860689198225563,120.0,0.0004050574331854636,2468.785703142819
317100747,secondary,0.020264450293251052,50.0,0.000405289005865021,2467.3750966070957
99549704,secondary,0.02032663182498531,50.0,0.0004065326364997062,2459.8271091101506
59580675,residential,0.020536595148640938,50.0,0.00041073190297281876,2434.6781751360027
13024592,residential,0.020538254118260588,50.0,0.00041076508236521177,2434.481514937773
229153828,secondary,0.04135802735395591,100.0,0.0004135802735395591,2417.9102920979853
