tagvalue,efficiency,average_travel_time
footway,591.3890486190722,0.009152707974576676
primary,535.9339231085704,0.009152707974576676
tertiary,507.930319200502,0.009152707974576676
service,442.2070118462071,0.009152707974576676
path,303.6908582906577,0.009152707974576676
residential,279.5793251571589,0.009152707974576676
track,207.12154488511956,0.009152707974576676
