id,tagvalue,length_km,maxspeed,travel_time,efficiency
285259651,track,0.020628110284010133,30,0.0006876036761336711,1454.3261397654287
47221530,track,0.02069490145325382,30,0.0006898300484417941,1449.6324163594002
27672302,track,0.022006069027675067,30,0.0007335356342558356,1363.2602879810875
1138142299,residential,0.02297842642435018,30,0.0007659475474783394,1305.5724289374782
29497313,track,0.02383688667612408,30,0.000794562889204136,1258.5536193385997
92437870,path,0.02565950193544206,30,0.0008553167311814019,1169.157533746306
43791213,service,0.026416824946840035,30,0.0008805608315613345,1135.639883308103
92437867,track,0.02732476943300275,30,0.0009108256477667584,1097.9049639762418
92422953,residential,0.0275463421889429,30,0.0009182114062980967,1089.0738158346844
29497318,track,0.029305197180381194,30,0.0009768399060127064,1023.7092013181864
102308040,track,0.030616253103270333,30,0.001020541770109011,979.8717007861258
30046355,track,0.035287728839347034,30,0.0011762576279782345,850.1538916426088
1159753231,service,0.03769766999681842,30,0.0012565889998939475,795.8051519505559
43791584,track,0.037708868907897625,30,0.001256962296929921,795.568810967886
92437869,path,0.039836397006236576,30,0.0013278799002078858,753.0801541942501
38455860,track,0.04097988480579982,30,0.0013659961601933273,732.0664794976228
92240984,track,0.04185234436367057,30,0.0013950781454556858,716.8057239355304
457237916,path,0.0419160487622533,30,0.0013972016254084434,715.7163159666884
1192999630,residential,0.04195022897243889,30,0.001398340965747963,715.1331645820065
43540874,track,0.04250244579460613,30,0.0014167481931535377,705.8417330846221
476420391,residential,0.043480793288821915,30,0.0014493597762940639,689.9598128471227
51985444,footway,0.04362669431009553,30,0.0014542231436698511,687.652376014604
38566629,residential,0.04381062555758035,30,0.0014603541852526783,684.7653878069138
1180759632,residential,0.044078998897383884,30,0.0014692999632461294,680.5962192979958
900722595,service,0.04484237640739915,30,0.0014947458802466384,669.0100392415843
92437863,service,0.046186531646938686,30,0.0015395510548979563,649.5400050674392
92240993,path,0.04658218127875935,30,0.0015527393759586449,644.0230829997536
494270686,residential,0.04880831837243946,30,0.001626943945747982,614.6493261882193
481568933,track,0.04970107965355291,30,0.0016567026551184303,603.6086179438847
29493514,footway,0.05107731422797904,30,0.0017025771409326345,587.3448996573641
696385888,track,0.05293641149799071,30,0.0017645470499330236,566.717674112434
113242472,path,0.05588137437039092,30,0.0018627124790130305,536.8515062130555
38566972,residential,0.056380437375294516,30,0.0018793479125098172,532.0994549990095
29342690,footway,0.056922776896268304,30,0.0018974258965422767,527.0298048647503
8151966,track,0.05727785545466956,30,0.0019092618484889854,523.7626262691066
92422948,residential,0.05762046970644438,30,0.0019206823235481461,520.6483069790863
675863876,service,0.0578010544854565,30,0.0019267018161818832,519.0216729964397
113242474,path,0.058676202976877825,30,0.001955873432562594,511.2805273344275
246051229,steps,0.062367712420855495,30,0.00207892374736185,481.0181235694662
494493944,track,0.06523742152096947,30,0.002174580717365649,459.8587635833677
28845308,track,0.06542959230740901,30,0.002180986410246967,458.5081297626076
29493552,footway,0.06597269498421242,30,0.0021990898328070807,454.73358344962475
85326073,track,0.06683545487844253,30,0.0022278484959480844,448.86355684363514
38566636,service,0.06772010242049985,30,0.002257336747349995,442.9999206693251
92422943,service,0.06865474233992551,30,0.00228849141133085,436.9690858566341
1180759633,residential,0.06886865104507234,30,0.002295621701502411,435.6118429031804
481529120,service,0.06914516760120688,30,0.0023048389200402294,433.86979944895484
43791211,residential,0.06964413034079525,30,0.0023214710113598418,430.7613556691508
92240985,path,0.07120597726077281,30,0.0023735325753590935,421.31294526206756
42313702,track,0.07158863402056326,30,0.002386287800685442,419.06093628470046
819806272,service,0.07210314597335983,30,0.002403438199111994,416.0706109978085
326745208,service,0.07328597000441253,30,0.002442865666813751,409.35529676681233
675863871,residential,0.0745833022570527,30,0.00248611007523509,402.23480446875976
879445080,path,0.07587954175992338,30,0.0025293180586641126,395.3634840721301
5153722,track,0.07663132366092662,30,0.0025543774553642208,391.4848206556118
22934615,residential,0.07697597248263628,30,0.002565865749421209,389.73200379855155
51985445,residential,0.07795234142693809,30,0.002598411380897936,384.85053111737403
38566631,residential,0.0783048841582481,30,0.0026101628052749366,383.11786451752266
100491235,track,0.07845486563554686,30,0.0026151621878515623,382.38546146215555
678751820,path,0.07963217096387146,30,0.002654405698795715,376.73216285426633
29281747,path,0.08253009330916317,30,0.002751003110305439,363.5037693174297
113242476,steps,0.08295312192060249,30,0.002765104064020083,361.6500416791319
890568523,service,0.08372880167276876,30,0.002790960055758959,358.2996460076765
30063850,track,0.0863135060562505,30,0.0028771168685416833,347.5701703097196
538835677,path,0.08673367432180273,30,0.0028911224773934246,345.88641879384477
538835674,track,0.08755363312830544,30,0.002918454437610181,342.64711729365376
92422954,track,0.08776178038406127,30,0.002925392679468709,341.8344508134934
43793528,residential,0.08777367568975089,30,0.002925789189658363,341.78812456298925
342047843,path,0.08795394989813407,30,0.0029317983299378026,341.08758088460155
187189607,secondary,0.20689408525177252,70,0.0029556297893110362,338.33736674886546
15863645,residential,0.08926240562489395,30,0.0029754135208297982,336.08773805703316
92422949,residential,0.09347299014625718,30,0.0031157663382085725,320.9483290633904
38566970,residential,0.09464352762334828,30,0.0031547842541116092,316.9788864949185
43793530,residential,0.09501323266097532,30,0.003167107755365844,315.7454931256314
72595865,footway,0.09651417834217783,30,0.0032171392780725944,310.835159303114
900722594,service,0.09763439676167847,30,0.003254479892055949,307.268759730536
