id,tagvalue,length_km,maxspeed,travel_time,efficiency
672157363,tertiary,0.023273503647753494,100,0.00023273503647753494,4296.731661614371
672157362,tertiary,0.02401927521473489,100,0.0002401927521473489,4163.322960663438
672157367,tertiary,0.03004458610930471,100,0.0003004458610930471,3328.3866729330753
25452820,tertiary,0.022426507242906554,70,0.00032037867489866507,3121.306373828712
698129880,tertiary,0.024109498129681998,70,0.00034442140185259994,2903.4200390020023
26548563,tertiary,0.028921651175394216,70,0.0004131664453627745,2420.3320749388668
1147378195,tertiary,0.04610170782125006,100,0.0004610170782125006,2169.1170398226795
33038346,tertiary,0.027721631952185695,50,0.0005544326390437139,1803.645618203144
211110972,tertiary,0.02846506940150605,50,0.000569301388030121,1756.5388404552623
144828195,tertiary,0.029219221926763083,50,0.0005843844385352617,1711.2023080328142
1016983787,tertiary,0.029462413391599978,50,0.0005892482678319995,1697.0775386056966
667681821,tertiary,0.03025360489292409,50,0.0006050720978584817,1652.6956102244308
673505871,residential,0.03147815161558022,50,0.0006295630323116044,1588.4033030469402
673505872,residential,0.03263815600382482,50,0.0006527631200764964,1531.9492925439959
762610174,tertiary,0.032770418272310906,50,0.0006554083654462181,1525.766304980217
698129878,tertiary,0.04588383745324014,70,0.0006554833921891448,1525.5916655039252
712152451,service,0.020317489631194917,30,0.0006772496543731639,1476.5603696402936
33038342,residential,0.020324994887994302,30,0.0006774998295998101,1476.0151313848837
673871956,service,0.020405666647421807,30,0.0006801888882473936,1470.1798533884414
698125849,tertiary,0.03416449963832983,50,0.0006832899927665966,1463.5074574282366
307332271,path,0.02051179690716947,30,0.0006837265635723157,1462.572983526086
25613673,service,0.02062115211784375,30,0.0006873717372614583,1454.8168709759245
1182674520,path,0.020974110472433777,30,0.0006991370157477926,1430.334794861929
988853907,footway,0.020982415474501734,30,0.0006994138491500577,1429.768657305286
25644402,service,0.02100861597463039,30,0.0007002871991543464,1427.9855482259009
23008473,residential,0.02112234871383426,30,0.000704078290461142,1420.2965970517876
480927971,residential,0.02115031490300213,30,0.0007050104967667377,1418.4185974338245
301720719,service,0.0211531902864513,30,0.0007051063428817099,1418.225789762555
666354491,service,0.02133376291130253,30,0.000711125430376751,1406.2216836630419
698125850,tertiary,0.035593230947668995,50,0.0007118646189533799,1404.7614860677465
144195852,service,0.021384845768903003,30,0.0007128281922967668,1402.8625842897034
667681826,residential,0.02139980809254491,30,0.0007133269364181636,1401.881730446506
297112973,track,0.021409015680191254,30,0.0007136338560063751,1401.27880927088
1198393582,residential,0.0215353414592314,30,0.0007178447153077133,1393.058942519814
698125852,tertiary,0.03592827902140141,50,0.0007185655804280281,1391.6614255365944
159234096,footway,0.021631728023047348,30,0.0007210576007682449,1386.851756273782
457552278,residential,0.021717776666530183,30,0.0007239258888843394,1381.3568700259157
162179839,residential,0.022078057099593987,30,0.0007359352366531329,1358.8152193225235
144534258,residential,0.02211704636321522,30,0.0007372348787738406,1356.4198178783768
1131144334,track,0.022232918519047195,30,0.0007410972839682398,1349.3505125878396
22568473,tertiary,0.03712853985257022,50,0.0007425707970514044,1346.672942123221
164767660,track,0.022373371478163966,30,0.0007457790492721322,1340.8797162859203
470756301,tertiary,0.037318322172595036,50,0.0007463664434519007,1339.8244371425103
487787333,service,0.022554495019547146,30,0.0007518165006515715,1330.1118013948046
931257019,footway,0.02258808415311484,30,0.0007529361384371614,1328.1338867273112
457386810,service,0.022720585725992507,30,0.0007573528575330836,1320.388495340584
451730697,residential,0.02303689468032156,30,0.000767896489344052,1302.258851130071
226359096,footway,0.023134464201465064,30,0.0007711488067155022,1296.7665790202375
666237132,residential,0.023286625884712784,30,0.0007762208628237595,1288.2931236377365
25644403,service,0.023292865562250235,30,0.0007764288520750079,1287.948016521408
528839869,track,0.02351768796569202,30,0.000783922932189734,1275.6356000540734
144110635,residential,0.023783696264310476,30,0.0007927898754770159,1261.3682779416265
919049316,service,0.023789916289198524,30,0.0007929972096399508,1261.0384851846275
162958498,tertiary,0.07934242953391751,100,0.0007934242953391751,1260.3596913710808
457386802,service,0.023917501440338215,30,0.0007972500480112738,1254.3116209205411
25367193,residential,0.023956245451077877,30,0.0007985415150359292,1252.2830449898481
69812866,service,0.024414423647841493,30,0.0008138141215947164,1228.7818231028498
25533557,track,0.024596274670657798,30,0.0008198758223552599,1219.6969013274434
666237131,residential,0.02502823733940665,30,0.0008342745779802217,1198.6461368881687
25666217,service,0.025068994900792358,30,0.0008356331633597452,1196.6973593764537
162958492,tertiary,0.025389431825499423,30,0.0008463143941833141,1181.5939878524591
698129876,tertiary,0.04242933533576689,50,0.0008485867067153379,1178.429961353913
908837328,residential,0.025528108483366806,30,0.0008509369494455602,1175.175200291354
144534248,footway,0.025623299630564263,30,0.0008541099876854754,1170.809397405441
1230432749,service,0.02571742982769146,30,0.0008572476609230487,1166.524034516748
698129877,tertiary,0.04307955603979275,50,0.000861591120795855,1160.643344462854
1230580897,path,0.026120836817588887,30,0.0008706945605862962,1148.5083808570412
667735321,path,0.026200751693808314,30,0.0008733583897936104,1145.0053170455226
666348812,path,0.026483296964761278,30,0.0008827765654920426,1132.7894725463395
162180555,residential,0.026528362075776513,30,0.0008842787358592172,1130.8651440411957
24579106,path,0.02666930610460375,30,0.0008889768701534583,1124.8886597323692
25294356,path,0.026877106230117725,30,0.0008959035410039241,1116.1915923219015
1193002352,footway,0.026889540088136817,30,0.0008963180029378939,1115.675459738914
1256617427,tertiary,0.04481631072239819,50,0.0008963262144479638,1115.6652387054055
